@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 {0,1,2,3}
@attribute outputs-2 {0,1,2,3}
@attribute outputs-3 {0,1,2,3}
@attribute outputs-4 {0,1,2,3}

@data
176,'2018/02/24 11:54:40:712',3,44.023808,-27.881397,-19.080185,?,?,?,?
177,'2018/02/24 11:54:40:735',3,41.717422,-27.356419,-21.722397,?,?,?,?
178,'2018/02/24 11:54:40:766',3,39.787971,-26.967587,-23.786972,?,?,?,?
179,'2018/02/24 11:54:40:807',3,36.290306,-27.491615,-25.839096,?,?,?,?
180,'2018/02/24 11:54:40:838',3,34.483223,-27.707256,-26.968155,?,?,?,?
181,'2018/02/24 11:54:40:867',3,31.153606,-27.998875,-28.253677,?,?,?,?
182,'2018/02/24 11:54:40:910',3,27.857765,-27.937105,-29.372574,?,?,?,?
183,'2018/02/24 11:54:40:944',3,24.88422,-27.986214,-30.396965,?,?,?,?
184,'2018/02/24 11:54:40:967',3,20.86006,-28.291348,-32.192749,?,?,?,?
185,'2018/02/24 11:54:41:005',3,15.774708,-26.295889,-35.156784,?,?,?,?
186,'2018/02/24 11:54:41:039',3,10.655897,-24.657106,-37.246452,?,?,?,?
187,'2018/02/24 11:54:41:067',3,7.419168,-23.726585,-38.366631,?,?,?,?
188,'2018/02/24 11:54:41:106',3,5.542703,-23.273026,-39.09053,?,?,?,?
189,'2018/02/24 11:54:41:141',3,0.103247,-25.527164,-35.702026,?,?,?,?
190,'2018/02/24 11:54:41:174',3,-3.962008,-26.799732,-33.509422,?,?,?,?
191,'2018/02/24 11:54:41:203',3,-5.576341,-27.340616,-32.943947,?,?,?,?
192,'2018/02/24 11:54:41:235',3,-3.450057,-30.64613,-33.377625,?,?,?,?
193,'2018/02/24 11:54:41:265',3,-7.795438,-30.089596,-31.208015,?,?,?,?
194,'2018/02/24 11:54:41:307',3,-12.978447,-28.27924,-29.812378,?,?,?,?
195,'2018/02/24 11:54:41:340',3,-15.811432,-27.503002,-28.772751,?,?,?,?
196,'2018/02/24 11:54:41:375',3,-15.288498,-28.373745,-28.534531,?,?,?,?
197,'2018/02/24 11:54:41:402',3,-18.53521,-27.70314,-26.181404,?,?,?,?
198,'2018/02/24 11:54:41:433',3,-20.040081,-27.479023,-24.867149,?,?,?,?
199,'2018/02/24 11:54:41:474',3,-21.078739,-27.281448,-23.99086,?,?,?,?
200,'2018/02/24 11:54:41:507',3,-24.947458,-25.973425,-20.724426,?,?,?,?
201,'2018/02/24 11:54:41:539',3,-26.574413,-25.377796,-18.942596,?,?,?,?
202,'2018/02/24 11:54:41:579',3,-27.448956,-25.053804,-17.817566,?,?,?,?
203,'2018/02/24 11:54:41:606',3,-30.492638,-24.996048,-12.540939,?,?,?,?
204,'2018/02/24 11:54:41:636',3,-31.930775,-25.186903,-9.778809,?,?,?,?
205,'2018/02/24 11:54:41:671',3,-32.672436,-25.841412,-7.921814,?,?,?,?
206,'2018/02/24 11:54:41:707',3,-27.560797,-28.873144,-10.443329,?,?,?,?
207,'2018/02/24 11:54:41:736',3,-25.6532,-30.752794,-11.110779,?,?,?,?
208,'2018/02/24 11:54:41:775',3,-24.004578,-33.057545,-12.28595,?,?,?,?
209,'2018/02/24 11:54:41:802',3,-23.141075,-35.306149,-13.230072,?,?,?,?
210,'2018/02/24 11:54:41:833',3,-22.776915,-36.971565,-14.069565,?,?,?,?
211,'2018/02/24 11:54:41:873',3,-22.709444,-38.683025,-15.148117,?,?,?,?
212,'2018/02/24 11:54:41:907',3,-22.801321,-40.060616,-16.551361,?,?,?,?
213,'2018/02/24 11:54:41:938',3,-19.482956,-39.909943,-20.650696,?,?,?,?
214,'2018/02/24 11:54:41:978',3,-17.340176,-39.692921,-23.708115,?,?,?,?
215,'2018/02/24 11:54:42:002',3,-16.510826,-39.730854,-25.256256,?,?,?,?
216,'2018/02/24 11:54:42:035',3,-15.079628,-39.861446,-27.202789,?,?,?,?
217,'2018/02/24 11:54:42:071',3,-11.250963,-40.002121,-31.375717,?,?,?,?
218,'2018/02/24 11:54:42:107',3,-9.3167,-40.034367,-33.518326,?,?,?,?
219,'2018/02/24 11:54:42:138',3,-8.580598,-39.898758,-35.521202,?,?,?,?
220,'2018/02/24 11:54:42:175',3,-2.195919,-40.182392,-37.681824,?,?,?,?
221,'2018/02/24 11:54:42:207',3,2.73138,-40.518532,-38.341766,?,?,?,?
222,'2018/02/24 11:54:42:238',3,5.136752,-40.444546,-38.938477,?,?,?,?
223,'2018/02/24 11:54:42:275',3,9.073041,-39.545868,-39.707001,?,?,?,?
224,'2018/02/24 11:54:42:307',3,10.959563,-39.14695,-40.075325,?,?,?,?
225,'2018/02/24 11:54:42:340',3,12.334291,-38.772007,-40.354836,?,?,?,?
226,'2018/02/24 11:54:42:375',3,16.623846,-36.701073,-40.180534,?,?,?,?
227,'2018/02/24 11:54:42:412',3,21.659935,-34.111717,-41.073257,?,?,?,?
228,'2018/02/24 11:54:42:435',3,27.158356,-33.826019,-38.766441,?,?,?,?
229,'2018/02/24 11:54:42:475',3,31.763176,-33.580566,-35.949898,?,?,?,?
230,'2018/02/24 11:54:42:501',3,36.557198,-33.432854,-32.800781,?,?,?,?
231,'2018/02/24 11:54:42:538',3,40.542332,-33.230553,-29.62545,?,?,?,?
232,'2018/02/24 11:54:42:580',3,44.205524,-32.804668,-26.73497,?,?,?,?
233,'2018/02/24 11:54:42:608',3,46.780037,-32.250706,-24.947403,?,?,?,?
234,'2018/02/24 11:54:42:634',3,51.156055,-30.158163,-23.99678,?,?,?,?
235,'2018/02/24 11:54:42:674',3,53.654762,-29.223782,-22.882263,?,?,?,?
236,'2018/02/24 11:54:42:701',3,56.615253,-28.432552,-20.927094,?,?,?,?
237,'2018/02/24 11:54:42:743',3,59.152004,-28.285957,-18.144211,?,?,?,?
238,'2018/02/24 11:54:42:772',3,60.033611,-29.779675,-13.292404,?,?,?,?
239,'2018/02/24 11:54:42:808',3,60.564205,-30.564159,-10.523788,?,?,?,?
240,'2018/02/24 11:54:42:845',3,61.003006,-30.904139,-8.743713,?,?,?,?
241,'2018/02/24 11:54:42:871',3,61.275082,-31.083984,-7.505676,?,?,?,?
242,'2018/02/24 11:54:42:907',3,61.403774,-31.179331,-6.577194,?,?,?,?
243,'2018/02/24 11:54:42:939',3,61.375072,-31.176737,-5.917648,?,?,?,?
244,'2018/02/24 11:54:42:975',3,61.090137,-31.070492,-5.538666,?,?,?,?
245,'2018/02/24 11:54:43:008',3,60.334007,-30.806652,-5.527115,?,?,?,?
246,'2018/02/24 11:54:43:046',3,59.475815,-30.086491,-6.0952,?,?,?,?
247,'2018/02/24 11:54:43:071',3,58.232201,-28.838573,-7.61795,?,?,?,?
248,'2018/02/24 11:54:43:107',3,53.981884,-29.028337,-9.824936,?,?,?,?
249,'2018/02/24 11:54:43:142',3,51.505238,-28.832741,-11.86853,?,?,?,?
250,'2018/02/24 11:54:43:172',3,47.782909,-29.622211,-14.603043,?,?,?,?
251,'2018/02/24 11:54:43:201',3,44.730412,-30.406044,-16.981812,?,?,?,?
252,'2018/02/24 11:54:43:249',3,41.446205,-31.163546,-19.550888,?,?,?,?
253,'2018/02/24 11:54:43:272',3,38.020607,-31.90873,-22.304764,?,?,?,?
254,'2018/02/24 11:54:43:304',3,34.810989,-32.525864,-24.638031,?,?,?,?
255,'2018/02/24 11:54:43:343',3,31.304626,-33.478592,-26.37719,?,?,?,?
256,'2018/02/24 11:54:43:373',3,26.909954,-34.241161,-28.278557,?,?,?,?
257,'2018/02/24 11:54:43:402',3,24.081579,-34.527496,-29.595558,?,?,?,?
258,'2018/02/24 11:54:43:444',3,20.225647,-36.0662,-32.041428,?,?,?,?
259,'2018/02/24 11:54:43:471',3,15.372231,-36.24852,-33.142395,?,?,?,?
260,'2018/02/24 11:54:43:500',3,13.25823,-36.55555,-33.446434,?,?,?,?
261,'2018/02/24 11:54:43:542',3,10.355339,-37.718159,-32.721924,?,?,?,?
262,'2018/02/24 11:54:43:574',3,6.413559,-37.486996,-32.723724,?,?,?,?
263,'2018/02/24 11:54:43:605',3,1.91672,-37.113323,-32.481033,?,?,?,?
264,'2018/02/24 11:54:43:640',3,-3.089937,-35.731483,-32.411858,?,?,?,?
265,'2018/02/24 11:54:43:675',3,-5.473585,-35.128307,-32.189606,?,?,?,?
266,'2018/02/24 11:54:43:700',3,-6.758758,-34.82917,-31.870636,?,?,?,?
267,'2018/02/24 11:54:43:742',3,-11.823065,-32.61673,-29.320969,?,?,?,?
268,'2018/02/24 11:54:43:774',3,-13.043143,-32.174374,-28.710968,?,?,?,?
269,'2018/02/24 11:54:43:807',3,-15.528905,-31.106586,-27.451897,?,?,?,?
270,'2018/02/24 11:54:43:848',3,-18.940922,-30.335819,-24.494858,?,?,?,?
271,'2018/02/24 11:54:43:876',3,-20.393379,-30.012127,-23.16806,?,?,?,?
272,'2018/02/24 11:54:43:908',3,-21.193449,-29.843975,-22.394852,?,?,?,?
273,'2018/02/24 11:54:43:940',3,-25.154802,-28.67206,-19.291763,?,?,?,?
274,'2018/02/24 11:54:43:971',3,-26.716755,-28.429386,-17.931305,?,?,?,?
275,'2018/02/24 11:54:44:010',3,-30.573088,-29.734924,-14.541656,?,?,?,?
276,'2018/02/24 11:54:44:044',3,-31.863657,-30.040434,-13.290787,?,?,?,?
277,'2018/02/24 11:54:44:077',3,-32.555,-31.084488,-12.458099,?,?,?,?
278,'2018/02/24 11:54:44:108',3,-32.955837,-32.391186,-12.093826,?,?,?,?
279,'2018/02/24 11:54:44:139',3,-36.741882,-34.218174,-10.305725,?,?,?,?
280,'2018/02/24 11:54:44:172',3,-38.108013,-34.985947,-9.625458,?,?,?,?
281,'2018/02/24 11:54:44:214',3,-38.802471,-35.492058,-9.2603,?,?,?,?
282,'2018/02/24 11:54:44:243',3,-39.199047,-35.877663,-9.166199,?,?,?,?
283,'2018/02/24 11:54:44:276',3,-39.268505,-36.119995,-9.405594,?,?,?,?
284,'2018/02/24 11:54:44:308',3,-39.093655,-36.220993,-9.779175,?,?,?,?
285,'2018/02/24 11:54:44:342',3,-42.447018,-36.114292,-9.124481,?,?,?,?
286,'2018/02/24 11:54:44:374',3,-43.778854,-36.10154,-8.841965,?,?,?,?
287,'2018/02/24 11:54:44:412',3,-40.656952,-35.932732,-10.029984,?,?,?,?
288,'2018/02/24 11:54:44:440',3,-38.730995,-35.843117,-10.690765,?,?,?,?
